ID,label,calories,fat,protein,carbohydrate,sugar,potassium
388,pinot,82.000,0.000,0.000,0.000,0.000,0.070
389,rehydrated,31.000,0.000,0.170,0.000,4.500,1.860
390,artificial,316.667,3.447,8.243,0.000,0.933,5.660
391,score,366.188,0.000,33.919,73.938,0.000,14.963
392,finger,390.000,16.617,17.257,46.000,1.350,11.812
393,yogurt,135.952,14.624,70.000,14.000,8.100,4.076
394,farley,341.000,0.000,0.000,0.000,0.000,4.400
395,chickfila,264.500,0.890,14.850,28.000,2.050,12.200
396,preserve,217.333,43.237,0.190,0.000,1.300,0.457
397,ancho,196.000,1.000,5.950,4.500,11.950,8.380
398,rolled,228.667,4.770,13.103,49.000,4.100,18.535
399,cheesefood,314.200,3.878,23.872,69.600,0.000,15.876
400,microwaveable,388.000,3.270,6.560,3.750,1.000,11.480
401,packaged,285.000,36.750,11.807,18.667,9.900,11.043
402,vitamin,717.000,68.180,80.710,100.000,7.700,55.300
403,handtossed,267.455,3.399,11.176,22.818,2.164,11.511
404,basella,19.000,0.000,0.300,0.000,0.000,1.800
405,harvard,73.000,0.000,0.060,0.000,2.500,0.840
406,medallion,160.167,0.000,6.613,67.500,0.000,23.453
407,nonfat,146.108,52.190,27.610,66.000,7.400,12.467
408,foreshank,194.667,0.000,10.108,86.556,0.000,24.804
409,bosc,67.000,10.230,0.090,0.000,3.100,0.360
410,protect,286.000,31.953,14.633,0.000,0.000,6.320
411,conch,130.000,0.000,1.200,65.000,0.000,26.300
412,country,246.154,29.900,7.577,89.000,41.300,10.763
413,jelly,295.250,44.148,18.700,26.000,0.700,5.900
414,cremefilled,378.250,27.120,12.818,50.750,14.900,3.953
415,puffin,333.000,18.520,3.700,0.000,18.500,7.410
416,cob,90.308,2.687,0.817,4.000,2.362,2.977
417,cod,902.000,0.000,100.000,570.000,0.000,22.020
418,pita,339.167,2.530,6.450,0.000,7.600,10.215
419,pate,354.200,0.000,31.456,210.200,0.000,12.330
420,bran,293.732,13.213,100.000,9.000,79.000,8.708
421,con,178.833,21.860,6.991,53.000,1.867,5.807
422,spear,28.333,1.460,0.187,0.000,3.000,3.087
423,lowcholesterol,390.000,1.000,32.000,15.000,0.000,25.000
424,salpora,445.000,21.860,16.110,0.000,1.200,8.810
425,wagyu,366.188,0.000,33.919,73.938,0.000,14.963
426,wolffish,109.500,0.000,2.725,52.500,0.000,19.970
427,teriyakiflavored,119.000,3.330,3.070,46.000,0.000,18.200
428,grigio,83.000,0.000,0.000,0.000,0.000,0.070
429,cranberryapricot,64.000,0.000,0.000,0.000,0.100,0.200
430,applesweet,48.000,9.600,0.100,0.000,0.500,0.300
431,beef,208.923,23.900,12.438,3100.000,6.900,21.759
432,shiitake,296.000,2.514,0.454,0.000,4.360,3.678
433,parsley,199.667,7.270,3.823,0.000,20.900,20.300
434,chrysanthemum,22.000,1.005,0.325,0.000,2.650,2.500
435,beer,277.000,10.600,22.530,69.000,0.900,14.240
436,grapefruit,45.412,8.122,0.125,0.000,1.600,0.665
437,beet,39.000,5.123,0.133,0.000,2.292,1.474
438,asadero,356.000,2.870,28.260,105.000,0.000,22.600
439,basic,358.000,22.600,3.900,0.000,6.800,6.700
440,basil,109.571,3.991,3.060,11.000,37.700,22.980
441,unleavened,219.000,0.870,5.380,5.000,2.600,5.480
442,fry,335.222,3.340,100.000,1.000,3.539,4.341
443,chocolateflavor,300.833,40.808,5.333,10.000,4.500,3.622
444,board,96.000,0.500,0.750,47.500,0.000,19.700
445,life,373.500,23.157,4.183,0.000,6.375,9.405
446,sprite,40.000,8.980,0.020,0.000,0.000,0.050
447,mushroom,64.323,10.400,2.021,23.000,1.821,2.775
448,eastern,91.000,1.230,3.786,52.857,0.000,7.721
449,chily,21.000,1.665,0.040,0.000,1.650,0.345
450,chum,175.000,0.000,6.275,86.667,0.000,28.600
451,naya,0.000,0.000,0.000,0.000,0.000,0.000
452,shoestring,183.000,0.255,6.500,0.000,2.550,2.530
453,dave,268.000,4.500,15.800,51.000,1.100,13.690
454,picante,25.000,6.250,0.000,0.000,3.100,0.000
455,chile,324.000,41.060,5.810,0.000,28.700,10.580
456,extravaganzza,244.000,3.300,11.100,20.000,2.000,10.330
457,chinook,203.667,0.000,11.553,38.778,0.000,23.651
458,chili,125.000,10.540,4.614,56.000,34.800,6.628
